population,median_income,median_house_val,num_of_white,num_of_black,num_of_indigenous,num_of_asian,num_of_islanders,num_of_others,state,county
37468.0,62660.0,186600.0,35782.0,197.0,512.0,140.0,4.0,178.0,WI,085
189620.0,72695.0,188800.0,167768.0,2680.0,2537.0,6677.0,47.0,3176.0,WI,087
91029.0,86915.0,305700.0,83716.0,1206.0,134.0,1914.0,93.0,697.0,WI,089
7328.0,63015.0,153900.0,7114.0,27.0,22.0,29.0,5.0,35.0,WI,091
42204.0,78341.0,242000.0,39702.0,306.0,107.0,504.0,10.0,258.0,WI,093
44806.0,67878.0,194100.0,42766.0,185.0,279.0,172.0,10.0,209.0,WI,095
70378.0,65550.0,184900.0,64514.0,580.0,203.0,2133.0,7.0,1116.0,WI,097
14003.0,52052.0,125400.0,13276.0,54.0,74.0,83.0,106.0,69.0,WI,099
197379.0,67224.0,194800.0,153515.0,22598.0,926.0,2544.0,181.0,5159.0,WI,101
17353.0,56089.0,148700.0,16298.0,111.0,21.0,125.0,2.0,390.0,WI,103
163522.0,65518.0,165800.0,138122.0,7823.0,426.0,1940.0,30.0,6776.0,WI,105
14182.0,51978.0,119400.0,13574.0,90.0,30.0,56.0,12.0,54.0,WI,107
92495.0,91320.0,282100.0,87099.0,625.0,54.0,838.0,8.0,725.0,WI,109
65428.0,67702.0,195700.0,60618.0,550.0,821.0,316.0,13.0,1069.0,WI,111
17813.0,53011.0,184000.0,13788.0,60.0,2809.0,87.0,7.0,208.0,WI,113
40836.0,59767.0,147600.0,35614.0,219.0,2813.0,230.0,0.0,154.0,WI,115
117528.0,65352.0,172500.0,101458.0,2468.0,252.0,7015.0,4.0,1942.0,WI,117
19960.0,56350.0,151500.0,19268.0,34.0,28.0,75.0,24.0,85.0,WI,119
30504.0,64336.0,168300.0,28146.0,142.0,97.0,136.0,35.0,1455.0,WI,121
30719.0,57933.0,168500.0,29490.0,66.0,23.0,90.0,11.0,155.0,WI,123
22813.0,56837.0,220700.0,19706.0,104.0,2056.0,57.0,0.0,36.0,WI,125
105945.0,69382.0,224300.0,95273.0,852.0,365.0,769.0,63.0,3464.0,WI,127
16561.0,54550.0,170600.0,15635.0,107.0,200.0,89.0,23.0,56.0,WI,129
136300.0,85574.0,259000.0,126897.0,1881.0,342.0,1930.0,23.0,1094.0,WI,131
405332.0,94310.0,306300.0,364396.0,6464.0,796.0,15328.0,101.0,3751.0,WI,133
51769.0,65070.0,159600.0,49150.0,385.0,166.0,255.0,12.0,667.0,WI,135
24527.0,57224.0,157300.0,22350.0,460.0,184.0,97.0,0.0,838.0,WI,137
171304.0,63938.0,167400.0,153873.0,4460.0,650.0,5100.0,175.0,1726.0,WI,139
74107.0,57996.0,137300.0,68900.0,513.0,360.0,1558.0,5.0,781.0,WI,141
66473.0,34788.0,57300.0,13893.0,566.0,49011.0,365.0,69.0,836.0,AZ,001
125092.0,55077.0,159500.0,95923.0,4870.0,1341.0,2338.0,425.0,4759.0,AZ,003
144942.0,61888.0,320400.0,87259.0,2035.0,37533.0,2554.0,230.0,6570.0,AZ,005
53211.0,51406.0,190700.0,37699.0,406.0,8838.0,408.0,23.0,2041.0,AZ,007
38145.0,57105.0,150400.0,27983.0,762.0,4976.0,273.0,41.0,851.0,AZ,009
9542.0,67723.0,92600.0,8210.0,183.0,335.0,44.0,0.0,181.0,AZ,011
16845.0,39732.0,104300.0,11104.0,103.0,2538.0,152.0,6.0,1002.0,AZ,012
4367186.0,72944.0,304700.0,3077431.0,245636.0,82202.0,184645.0,9174.0,306900.0,AZ,013
211274.0,49738.0,192300.0,180762.0,2227.0,4093.0,2387.0,513.0,8755.0,AZ,015
106609.0,46126.0,145700.0,49282.0,1079.0,46829.0,489.0,184.0,3583.0,AZ,017
1035063.0,59215.0,217700.0,720319.0,35638.0,37296.0,29420.0,1549.0,94938.0,AZ,019
420625.0,65488.0,218400.0,307365.0,19398.0,19701.0,6339.0,1471.0,25190.0,AZ,021
47463.0,45089.0,165500.0,30808.0,216.0,252.0,169.0,0.0,4721.0,AZ,023
233789.0,56170.0,295400.0,202822.0,1516.0,2952.0,2611.0,184.0,9582.0,AZ,025
202944.0,52563.0,148900.0,134869.0,4192.0,2965.0,2301.0,110.0,20381.0,AZ,027
58133.0,49736.0,119700.0,39368.0,12080.0,248.0,483.0,44.0,1547.0,TX,001
18184.0,80518.0,156500.0,13549.0,394.0,0.0,85.0,37.0,1979.0,TX,003
86584.0,52377.0,115600.0,63882.0,11917.0,767.0,867.0,0.0,2297.0,TX,005
24149.0,51509.0,184900.0,20967.0,41.0,294.0,343.0,0.0,771.0,TX,007
8616.0,67083.0,146600.0,8003.0,43.0,107.0,12.0,0.0,70.0,TX,009
1980.0,71136.0,155000.0,1854.0,13.0,21.0,3.0,0.0,23.0,TX,011
48684.0,63391.0,115900.0,37188.0,196.0,88.0,255.0,0.0,1897.0,TX,013
30132.0,68400.0,211200.0,22810.0,2685.0,26.0,219.0,0.0,3056.0,TX,015
6968.0,64044.0,93200.0,6041.0,17.0,61.0,51.0,0.0,795.0,TX,017
20839.0,64495.0,220200.0,17788.0,213.0,106.0,81.0,0.0,780.0,TX,019
94887.0,78339.0,209000.0,59039.0,6975.0,953.0,777.0,0.0,17904.0,TX,021
3491.0,43705.0,73900.0,2983.0,144.0,7.0,0.0,35.0,76.0,TX,023
31191.0,48822.0,93200.0,23097.0,2262.0,207.0,71.0,0.0,1011.0,TX,025
364703.0,57932.0,164200.0,210914.0,86420.0,2068.0,10567.0,2105.0,14795.0,TX,027
1990522.0,62169.0,187300.0,1273323.0,151122.0,14031.0,59864.0,2459.0,157628.0,TX,029
11313.0,71201.0,286900.0,9180.0,3.0,54.0,99.0,33.0,775.0,TX,031
550.0,68500.0,143300.0,518.0,0.0,0.0,0.0,0.0,0.0,TX,033
18275.0,59328.0,137800.0,15929.0,334.0,69.0,119.0,0.0,429.0,TX,035
92957.0,54949.0,132700.0,62978.0,23391.0,596.0,1176.0,6.0,1572.0,TX,037
368575.0,87958.0,225200.0,234325.0,55091.0,2121.0,25058.0,84.0,19006.0,TX,039
231095.0,52658.0,229700.0,168520.0,25741.0,743.0,13627.0,153.0,6809.0,TX,041
9501.0,48679.0,181700.0,7670.0,27.0,78.0,370.0,0.0,453.0,TX,043
1266.0,38469.0,72100.0,1076.0,31.0,0.0,0.0,11.0,31.0,TX,045
7100.0,26827.0,70100.0,4865.0,127.0,0.0,0.0,7.0,730.0,TX,047
38085.0,49232.0,114000.0,32042.0,1360.0,143.0,232.0,0.0,675.0,TX,049
17687.0,64109.0,124500.0,13380.0,2338.0,154.0,0.0,0.0,281.0,TX,051
48424.0,65363.0,229600.0,41346.0,708.0,156.0,331.0,75.0,2783.0,TX,053
45286.0,63380.0,162000.0,31561.0,2353.0,288.0,413.0,12.0,3359.0,TX,055
20367.0,61887.0,121700.0,15235.0,532.0,67.0,910.0,0.0,882.0,TX,057
13781.0,55820.0,111900.0,12675.0,137.0,11.0,52.0,0.0,178.0,TX,059
420554.0,43057.0,94200.0,309784.0,2714.0,946.0,2861.0,126.0,23399.0,TX,061
12498.0,50947.0,127300.0,8740.0,1955.0,27.0,88.0,0.0,1015.0,TX,063
5856.0,76786.0,101700.0,5376.0,58.0,146.0,17.0,23.0,126.0,TX,065
28692.0,49626.0,96900.0,22231.0,4954.0,58.0,192.0,0.0,384.0,TX,067
7450.0,53551.0,86300.0,5557.0,86.0,36.0,98.0,0.0,306.0,TX,069
45257.0,93707.0,241700.0,35837.0,3445.0,40.0,337.0,0.0,2740.0,TX,071
50564.0,54222.0,120400.0,36606.0,6959.0,784.0,228.0,18.0,1817.0,TX,073
6784.0,53092.0,100600.0,5039.0,594.0,27.0,5.0,0.0,338.0,TX,075
10236.0,69967.0,117900.0,9502.0,37.0,94.0,95.0,7.0,14.0,TX,077
2553.0,38203.0,44600.0,1671.0,157.0,7.0,2.0,0.0,132.0,TX,079
3288.0,42639.0,82400.0,2888.0,34.0,7.0,0.0,0.0,165.0,TX,081
7848.0,47216.0,83400.0,6501.0,206.0,62.0,91.0,2.0,334.0,TX,083
